127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001340
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001730
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000936
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.004157
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000796
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000684
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.013209
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000803
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000483
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000333
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000309
127.0.0.1, 2011-11-16 21:31:02, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.003318
127.0.0.1, 2011-11-16 21:31:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000433
127.0.0.1, 2011-11-16 21:31:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2011-11-16 21:31:04, POST, /admin/default/index, HTTP/1.1, 303, 0.063956
127.0.0.1, 2011-11-16 21:31:04, GET, /admin/default/site, HTTP/1.1, 200, 0.053914
127.0.0.1, 2011-11-16 21:31:04, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001055
127.0.0.1, 2011-11-16 21:31:04, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2011-11-16 21:31:04, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2011-11-16 21:31:04, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.001265
127.0.0.1, 2011-11-16 21:31:04, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000762
127.0.0.1, 2011-11-16 21:31:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.944039
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/default/index, HTTP/1.1, 200, 0.068598
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/css/anytime.css, HTTP/1.1, 200, 0.001863
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/js/jquery.js, HTTP/1.1, 200, 0.001458
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/css/handheld.css, HTTP/1.1, 200, 0.002642
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.001912
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/js/anytime.js, HTTP/1.1, 200, 0.001194
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/css/base.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/css/superfish.css, HTTP/1.1, 200, 0.000489
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/js/superfish.js, HTTP/1.1, 200, 0.000284
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000868
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/images/poweredby.png, HTTP/1.1, 200, 0.004654
127.0.0.1, 2011-11-16 21:31:07, GET, /Testapp/static/favicon.ico, HTTP/1.1, 200, 0.000428
127.0.0.1, 2011-11-16 21:31:08, GET, /Testapp/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000534
127.0.0.1, 2011-11-16 21:31:08, GET, /Testapp/static/images/shadow.png, HTTP/1.1, 200, 0.000458
127.0.0.1, 2011-11-16 21:31:08, GET, /admin/default/twitter, HTTP/1.1, 200, 3.941756
127.0.0.1, 2011-11-16 21:52:07, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2011-11-16 21:52:08, GET, /welcome/default/index, HTTP/1.1, 200, 1.615016
127.0.0.1, 2011-11-16 21:52:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.028669
127.0.0.1, 2011-11-16 21:52:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.023053
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.025837
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.018055
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.017107
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.016121
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.015868
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000295
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.020027
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000696
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.022442
127.0.0.1, 2011-11-16 21:53:15, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.002247
127.0.0.1, 2011-11-16 21:53:16, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000736
127.0.0.1, 2011-11-16 21:53:16, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000350
127.0.0.1, 2011-11-16 21:53:16, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.001075
127.0.0.1, 2011-11-16 21:53:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.021536
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000672
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001038
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000396
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.004362
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.006242
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.001766
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.004248
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.002445
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.006710
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000426
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000455
127.0.0.1, 2011-11-16 21:53:21, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000321
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.023820
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000460
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001430
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.000390
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000421
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.002167
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000738
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001253
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000401
127.0.0.1, 2011-11-16 21:53:23, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000870
127.0.0.1, 2011-11-16 21:53:24, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000541
127.0.0.1, 2011-11-16 21:53:24, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000454
127.0.0.1, 2011-11-16 21:53:24, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000373
127.0.0.1, 2011-11-16 21:53:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.027710
127.0.0.1, 2011-11-16 21:53:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003370
